GeographicCode,GeographicName,Province,Population_2011,Population_2006,PrivateDwellings_2011,LandArea_SqKm_2011,PopDensity_SqKm_2011,NatPopRank_2011,ProvPopRank_2011
3560060,Northwest Angle 33B,Ontario,86,40,44,12.7814,6.7285,4431,521
3532002,Norwich,Ontario,10721,10481,3719,431.277,24.8587,369,134
3524001,Oakville,Ontario,182520,165613,63894,138.8787,1314.2404,27,12
3558016,O'Connor,Ontario,685,720,274,108.6454,6.3049,2594,393
3538018,Oil Springs,Ontario,704,717,302,8.1797,86.0667,2558,390
3558080,Ojibway Nation of Saugeen (Savant Lake),Ontario,100,98,31,56.5909,1.7671,4365,515
3558011,Oliver Paipoonge,Ontario,5732,5757,2149,350.7627,16.3415,632,214
3539021,Oneida 41,Ontario,1282,,480,22.1639,57.8418,1775,332
3556073,Opasatika,Ontario,214,280,120,329.9831,0.6485,3946,480
3522014,Orangeville,Ontario,27975,26925,10265,15.6144,1791.6154,152,61
3543052,Orillia,Ontario,30586,30259,13863,28.6055,1069.2349,142,55
3543023,Oro-Medonte,Ontario,20078,20031,8565,586.9017,34.2102,196,77
3518013,Oshawa,Ontario,149607,141590,61306,145.6767,1026.9796,31,15
3558085,Osnaburgh 63A,Ontario,153,153,35,41.7853,3.6616,4161,501
3560055,Osnaburgh 63B,Ontario,425,347,108,121.0211,3.5118,3214,433
3515005,Otonabee-South Monaghan,Ontario,6660,6812,2851,347.5842,19.1608,570,197
3506008,Ottawa,Ontario,883391,812129,370217,2790.2178,316.6029,4,2
3542059,Owen Sound,Ontario,21688,21753,10109,24.2202,895.4509,184,71
3548013,Papineau-Cameron,Ontario,978,1058,439,566.7392,1.7257,2106,358
3549073,Parry Island First Nation,Ontario,419,350,430,72.3581,5.7906,3234,436
3549032,Parry Sound,Ontario,6191,5818,3037,13.364,463.2595,602,206
3549096,"Parry Sound, Unorganized, Centre Part",Ontario,2199,2424,2637,2697.6403,0.8152,1251,299
3549095,"Parry Sound, Unorganized, North East Part",Ontario,217,236,102,183.272,1.184,3938,478
